parent,definition,children,translation,label,label1,label2,label3
wrecker,someone who demolishes or dismantles buildings as a job,"housewrecker,knacker","домработник,крахмал",0.0,0.0,0.0,0.0
dispersion,the act of dispersing or diffusing something,crop-dusting,пылеулавливание,1.0,1.0,1.0,1.0
manipulator,a person who handles things manually,twiddler,,0.0,0.0,1.0,0.0
pistil,-,carpel,carpel,1.0,1.0,1.0,1.0
writ,-,warrant,складская расписка; варрант; залоговое свидетельство; товарная квитанция; подписной сертификат,0.0,0.0,1.0,0.0
polymerase,an enzyme that catalyzes the formation of new DNA and RNA from an existing strand of DNA or RNA,DNA polymerase,,1.0,1.0,1.0,1.0
hairdo,-,wave,волна,1.0,0.0,1.0,1.0
murre,black-and-white diving bird of northern seas,"common murre,thick-billed murre","обыкновенный мур,толстоклювый мур",1.0,1.0,1.0,1.0
onion roll,yeast-raised roll flavored with onion,bialy,bialy,1.0,1.0,1.0,0.0
chemical bond,-,covalent bond,ковалентную связь.,1.0,1.0,1.0,1.0
exteroception,-,sight,"падать с такой высоты,",1.0,1.0,0.0,1.0
board,a flat portable surface (usually rectangular) designed for board games,"backgammon board,cribbage board,dartboard,go board,monopoly board,Ouija,pegboard,punchboard","доска для игры в нарды, доска для криббиджа, доска для дартса,доска для игры в го, доска для игры в монополию, доска для игры в виджи,доска для игры в пеги, доска для игры",0.0,0.0,0.0,0.0
correctness,the quality of conformity to social expectations,faultlessness,безупречность,0.0,0.0,0.0,0.0
emotional person,a person subject to strong states of emotion,"captive,spitfire","пленник,spitfire",0.0,0.0,0.0,0.0
stonework,masonry done with stone,cyclopean masonry,Циклопическая кладка,1.0,1.0,0.0,1.0
pewee,small olive-colored woodland flycatchers of eastern North America,western wood pewee,вестерн-Вуд-Пьюи,1.0,1.0,1.0,1.0
mongoose,agile grizzled Old World viverrine; preys on snakes and rodents,ichneumon,ихневмон,1.0,1.0,1.0,1.0
credit,recognition by a college or university that a course of studies has been successfully completed; typically measured in semester hours,semester hour,за семестр,0.0,0.0,0.0,0.0
Old World jay,a European jay,common European jay,обыкновенная европейская сойка,1.0,1.0,1.0,1.0
mallow,any of various plants of the family Malvaceae,"abelmosk,velvetleaf,chaparral mallow,checkerbloom,tall mallow,common mallow,false mallow,glade mallow,mountain hollyhock,wild hollyhock,Indian mallow,Queensland hemp,malope,musk mallow,Virginia mallow,waxmallow","абельмоск,бархат, мальва чапараль,чекерблум,высокая мальва, мальва обыкновенная, мальва ложная, мальва глейд,холлихок горный,холлихок дикий, мальва индейская, конопля Квинсленда,малопа, мальва мускусная, мальва вирджиния,восковая",1.0,1.0,1.0,1.0
electric potential,the difference in electrical charge between two points in a circuit expressed in volts,evoked potential,ANTIDROMNYE POTENTSIALY,1.0,1.0,1.0,1.0
service,a company or agency that performs a public service; subject to government regulation,utility,служебная программа,0.0,0.0,0.0,0.0
mallet,a sports implement with a long handle and a head like a hammer; used in sports (polo or croquet) to hit a ball,croquet mallet,крокетный молоток,0.0,0.0,0.0,0.0
nongovernmental organization,-,denomination,купюра (о банкнотах); достоинство (о ценных бумагах); нарицательная стоимость банкноты; ценность,0.0,0.0,0.0,0.0
test rocket,a rocket fired for test purposes,sounding rocket,- Исследовательские ракеты,0.0,0.0,0.0,0.0
workhorse,a horse used for plowing and hauling and other heavy labor,"farm horse,packhorse,plow horse","фермерская лошадь, вьючнаялошадь,плужная лошадь",0.0,0.0,0.0,0.0
ash,any of various deciduous pinnate-leaved ornamental or timber trees of the genus Fraxinus,"Arizona ash,black ash,blue ash,European ash,manna ash,flowering ash,flowering ash,white ash,swamp ash,Oregon ash,mountain ash,pumpkin ash","Зола аризонская, зола черная, зола голубая, зола европейская, зола манны, зола цветущая, зола цветущая, зола белая, зола болотная, зола орегонская, зола горная, зола тыквенная",1.0,1.0,1.0,1.0
temperature scale,a system of measuring temperature,"Kelvin scale,Celsius scale","Шкала Кельвина, шкала Цельсия",1.0,1.0,0.0,1.0
weave,-,check,проверить,0.0,0.0,0.0,0.0
closed corporation,a corporation owned by a few people; shares have no public market,family business,Семейные предприятия,0.0,0.0,0.0,0.0
military science,the discipline dealing with the principles of warfare,strategy,в области ИС,0.0,0.0,0.0,0.0
box turtle,chiefly terrestrial turtle of North America; shell can be closed tightly,Western box turtle,Черепаха вестерн бокс,1.0,1.0,1.0,1.0
epistemology,the philosophical theory of knowledge,methodology,проекта (РКП),0.0,0.0,0.0,1.0
intersection,a point where lines intersect,"metacenter,vertex","метацентр,вершина",0.0,0.0,0.0,1.0
legal right,-,tenure,владение,0.0,0.0,0.0,0.0
Bahrainian monetary unit,monetary unit in Bahrain,Bahrain dinar,Бахрейнский динар,0.0,0.0,0.0,1.0
lattice,an arrangement of points or particles or objects in a regular periodic pattern in 2 or 3 dimensions,space lattice,пространственная решетка,1.0,1.0,1.0,1.0
coelenterate,-,jellyfish,Jellyfish,1.0,1.0,1.0,1.0
trough,a narrow depression (as in the earth or between ocean waves or in the ocean bed),swale,Трясина,0.0,0.0,0.0,0.0
mystic,someone who believes in the existence of realities beyond human comprehension,quietist,quietist,0.0,0.0,0.0,0.0
mollusk,-,scaphopod,скапхопод,1.0,1.0,1.0,1.0
internal-combustion engine,-,rotary engine,Роторный двигатель.,0.0,0.0,0.0,1.0
epilepsy,-,reflex epilepsy,BETTOLEPSIIA,1.0,1.0,0.0,1.0
supporting tower,a tower that serves to support something,trestle,ощора трубощровода,0.0,1.0,0.0,0.0
possibility,a possible alternative,possible,возможно,0.0,0.0,0.0,0.0
seed stock,a supply of seeds (or tubers) reserved for planting,seed corn,seed-corn,0.0,0.0,0.0,0.0
lesbianism,female homosexuality,tribadism,Трибадизм,0.0,0.0,0.0,1.0
body covering,-,protective covering,Защитное покрытие.,0.0,0.0,0.0,0.0
pipe,a tube with a small bowl at one end; used for smoking tobacco,"briar,calabash,hookah,calumet,meerschaum","шиповник,калабаш,кальян, кальян,меершаум",0.0,0.0,0.0,0.0
"athlete,player",a person trained to compete in sports,lacrosse player,игрок в лакросс,0.0,0.0,0.0,0.0
hoarder,-,miser,Жмот. ,0.0,0.0,0.0,0.0
drawstring,a tie consisting of a cord that goes through a seam around an opening,purse string,строка кошелька,0.0,0.0,0.0,0.0
drop-leaf table,a table that has a drop-leaf to enlarge its surface,gateleg table,стол для ворот,0.0,0.0,0.0,0.0
butt,a large cask (especially one holding a volume equivalent to 2 hogsheads or 126 gallons),water butt,Водохлеб,0.0,0.0,0.0,0.0
ground squirrel,any of various terrestrial burrowing rodents of Old and New Worlds; often destroy crops,"antelope squirrel,Arctic ground squirrel,suslik","белка-антилопа,арктическая суслик,суслик",1.0,1.0,1.0,1.0
license,the act of giving a formal (usually written) authorization,"clearance,conge,toleration","клиренс,застой,переносимость",0.0,0.0,0.0,0.0
bottle,a glass or plastic vessel used for storing drinks or other liquids; typically cylindrical without handles and with a narrow neck that can be plugged or capped,"phial,beer bottle,gourd,carafe,carboy,catsup bottle,cruet,demijohn,ink bottle,pill bottle,pop bottle,smelling bottle,specimen bottle,whiskey bottle","флакон,пивная бутылка,тыква,графин,карбой,бутылка для кэтсапа, крюет,демиджон,чернильная бутылка, бутылка для таблеток,поп бутылка,пахнущая бутылка, бутылка для образцов, бутылка для виски",0.0,0.0,0.0,0.0
colonnade,structure consisting of a row of evenly spaced columns,peristyle,Перистиль,1.0,1.0,1.0,0.0
joining,-,convergence,Сходимость,0.0,0.0,0.0,0.0
impression,an outward appearance,"figure,image,mark,tout ensemble","фигура,изображение,марка, ансамбль tout",0.0,0.0,0.0,0.0
electrolyte,a solution that conducts electricity,polyelectrolyte,Полиэлектролит,1.0,1.0,1.0,1.0
ASCII text file,a text file that contains only ASCII characters without special formatting,source code,исходный код,1.0,1.0,1.0,1.0
section,(geometry) the area created by a plane cutting through a solid,cross section,поперечное сечение,0.0,0.0,1.0,0.0
granulated sugar,sugar in the form of small grains,powdered sugar,сахарная пудра,0.0,0.0,0.0,0.0
guest,a customer of a hotel or restaurant etc.,no-show,Не Показывать,0.0,0.0,0.0,0.0
athlete,a person trained to compete in sports,"ball hawk,hooker,hurdler,lacrosse player,letterman,weightlifter,Olympian,pentathlete,vaulter,sharpshooter,shot putter,sport,striker,swinger,winger","ястреб,проститутка, барьер, игрок в лакросс,леттерман,тяжелоатлет,олимпийский чемпион,пятиборец,прыгун,снайпер,дробовик,спорт,нападающий,свингер,вингер",0.0,0.0,1.0,0.0
friedcake,-,fritter,оладьи,0.0,0.0,0.0,0.0
extraversion,(psychology) an extroverted disposition; concern with what is outside the self,outwardness,наружность,0.0,0.0,0.0,0.0
spontaneous abortion,a natural loss of the products of conception,"habitual abortion,imminent abortion,incomplete abortion","привычный аборт,неизбежный аборт,неполный аборт",0.0,0.0,0.0,0.0
drift,a general tendency to change (as of opinion),gravitation,Гравитация,0.0,0.0,0.0,0.0
"strap,sharpener",an elongated leather strip (or a strip of similar material) for binding things together or holding something in position,strop,strop,0.0,0.0,0.0,0.0
military vehicle,-,troop carrier,ПЕРЕВОЗЧИК ВОЙСК,0.0,0.0,0.0,0.0
drop-leaf table,a table that has a drop-leaf to enlarge its surface,gateleg table,стол для ворот,0.0,0.0,0.0,0.0
liana,-,monstera,Monstera,0.0,1.0,0.0,0.0
military uniform,-,dress uniform,форма одежды,0.0,0.0,0.0,0.0
income,-,personal income,Похожие:,0.0,0.0,0.0,0.0
auxiliary verb,"a verb that combines with another verb in a verb phrase to help form tense, mood, voice, or condition of the verb it combines with",modal auxiliary verb,модальный вспомогательный глагол,1.0,1.0,1.0,1.0
organ,a periodical that is published by a special interest group,house organ,Фирменные издания,0.0,0.0,0.0,0.0
face mask,-,catcher's mask,маска ловителя,0.0,0.0,0.0,0.0
attraction,the force by which one object attracts another,"affinity,van der Waal's forces","сродство, силы Ван-дер-Вааля",1.0,1.0,1.0,1.0
endlessness,the property of being (or seeming to be) without end,continuousness,непрерывность,0.0,0.0,0.0,0.0
timber,a beam made of wood,"coulisse,sternpost","coulisse,sternpost",1.0,1.0,1.0,1.0
unrestraint,-,intemperance,невоздержанность,0.0,0.0,0.0,0.0
football player,-,lineman,lineman,1.0,1.0,1.0,0.0
absconder,a fugitive who runs away and hides to avoid arrest or prosecution,alien absconder,чужой absconder,0.0,0.0,0.0,0.0
deposit,the phenomenon of sediment or gravel accumulating,lode,LODE,0.0,0.0,0.0,0.0
enormousness,unusual largeness in size or extent or number,enormity,чудовищность,0.0,0.0,0.0,0.0
spectator,-,spy,Балбастинг,0.0,0.0,0.0,0.0
even-toed ungulate,-,swine,KABAN,0.0,0.0,0.0,0.0
nest,a structure in which animals lay eggs or give birth to their young,"beehive,drey,mouse nest","улей,серая,мышиное гнездо",0.0,0.0,0.0,0.0
liveliness,animation and energy in action or expression,"airiness,alacrity,breeziness,irrepressibility,elan,esprit,pep,pertness","воздушность, ловкость,бриз,неудержимость,элан,эсприт,пеп,пертнес",0.0,0.0,0.0,0.0
canvas tent,a tent made of canvas fabric,"circus tent,field tent","цирковая палатка,полевая палатка",0.0,0.0,0.0,0.0
English person,-,Londoner,Londoner,0.0,0.0,0.0,0.0
gymnosperm,-,cycad,Саговниковидные,1.0,1.0,1.0,1.0
penalty,(games) a handicap or disadvantage that is imposed on a competitor (or a team) for an infraction of the rules of the game,game misconduct,игровой проступок,0.0,0.0,0.0,0.0
ball,a spherical object used as a plaything,"beach ball,snowball","пляжный мяч,снежный ком",0.0,0.0,0.0,0.0
"eagle,young bird",any of various large keen-sighted diurnal birds of prey noted for their broad wings and strong soaring flight,eaglet,орленок,0.0,0.0,0.0,0.0
change of integrity,-,transformation,преобразование,0.0,0.0,0.0,0.0
promise,grounds for feeling hopeful about the future,rainbow,радуга,0.0,0.0,0.0,0.0
good person,-,benefactor,«Жертвователь»,0.0,0.0,0.0,0.0
reversion,"(law) an interest in an estate that reverts to the grantor (or his heirs) at the end of some period (e.g., the death of the grantee)",escheat,зачисление бесхозяйного имущества в доход государства; переход выморочного имущества в собственность государства,1.0,1.0,1.0,1.0
tax,-,transfer tax,налог на передачу,0.0,0.0,1.0,0.0
mutant,(biology) an organism that has characteristics resulting from chromosomal alteration,freak,Урод,0.0,0.0,0.0,0.0
"holder,creditor",a person who holds something,mortgagee,залогодержатель; кредитор по закладной,0.0,0.0,0.0,1.0
unwillingness,-,reluctance,Магнитное сопротивление /,0.0,1.0,0.0,0.0
dance,a party for social dancing,"barn dance,hop,rave","танцы в амбаре,хоп,рейв",0.0,0.0,0.0,0.0
hole,an opening into or through something,"bolt-hole,bullet hole,cranny,knothole,leak,ozone hole,perforation,rathole","болтовое отверстие,пулевое отверстие,трещина,нотовое отверстие,утечка,озоновое отверстие,перфорация, решеточноеотверстие",0.0,0.0,0.0,0.0
"assistant,female child",a person who contributes to the fulfillment of a need or furtherance of an effort or purpose,flower girl,цветочница,0.0,0.0,0.0,0.0
manipulator,a person who handles things manually,twiddler,средне- и высокочастотный динамик,0.0,0.0,0.0,0.0
pulse counter,an electronic counter that counts the number of electric pulses,scaler,&amp; Метод масштабирования,0.0,0.0,0.0,0.0
pincer,a hand tool for holding consisting of a compound lever for grasping,roach clip,1,1.0,,,1.0
diving board,a springboard from which swimmers can dive,highboard,,1.0,,,1.0
partial veil,membrane of the young sporophore of various mushrooms extending from the margin of the cap to the stem and is ruptured by growth; represented in mature mushroom by an annulus around the stem and sometimes a cortina on the margin of the cap,cortina,,1.0,,,1.0
labor contract,contract between labor and management governing wages and benefits and working conditions,yellow-dog contract,,1.0,,,1.0
mechanical system,a system of elements that interact on mechanical principles,"production line,lubricating system,fuel injection",,1.0,,,1.0
lesbianism,female homosexuality,tribadism,,1.0,,,1.0
reptile,-,synapsid,,1.0,,,1.0
quartet,four people considered as a unit,quadrumvirate,,1.0,,,1.0
viverrine,-,mongoose,,1.0,,,1.0
utility routine,a routine that can be used as needed,"dump routine,input routine,output routine",,0.0,,,0.0
strap,an elongated leather strip (or a strip of similar material) for binding things together or holding something in position,"bootstrap,cheekpiece,chin strap,crupper,latchet,noseband,strop",,1.0,,,1.0
traffic control,control of the flow of traffic in a building or a city,point duty,,0.0,,,0.0
ice-skater,someone who engages in ice skating,speedskater,,0.0,,,0.0
El Salvadoran monetary unit,monetary unit in El Salvador,colon,,1.0,,,1.0
pardoner,a medieval cleric who raised money for the church by selling papal indulgences,absolver,,1.0,,,1.0
footprint,a mark of a foot or shoe on a surface,footprint evidence,,0.0,,,0.0
mechanical device,mechanism consisting of a device that works on mechanical principles,"record changer,ski binding,broadcaster,bumper,bumper guard,carburetor,copyholder,curler,dicer,electromechanical device,escapement,gearshift,grab,pantograph,tone arm,piston,ratchet,seeder,shutter,splicer,splint,sprinkler,stator,stoker,stretcher,trap,voting machine,windshield wiper",,1.0,,,1.0
edge,the outside limit of an object or area or surface; a place farthest away from the center of something,"molding,hem,luff,wayside,selvage",,1.0,,,1.0
rookery,a breeding ground for gregarious birds (such as rooks),heronry,,1.0,,,1.0
playgoer,someone who attends the theater,"first-nighter,groundling",,1.0,,,1.0
weaponry,-,naval weaponry,,0.0,,,0.0
flush,a sudden rapid flow (as of water),springtide,,0.0,,,0.0
area,the extent of a 2-dimensional surface enclosed within a boundary,"acreage,balk,erasure,footprint,space",,1.0,,,1.0
endlessness,the property of being (or seeming to be) without end,continuousness,,0.0,,,0.0
sorter,a machine for sorting things (such as punched cards or letters) into classes,mailsorter,,0.0,,,0.0
barge,a flatbottom boat for carrying heavy loads (especially on canals),"dredger,houseboat",,1.0,,,1.0
Tajikistani monetary unit,monetary unit in Tajikistan,ruble,,0.0,,,0.0
noise,sound of any kind (especially unintelligible or dissonant sound),"banging,bark,blare,boom,hubbub,chatter,chatter,chug,clack,clang,clatter,crack,creak,crunch,ding-dong,explosion,hiss,grate,grinding,rumble,grunt,hum,pant,plonk,plop,plump,racket,report,rhonchus,rustle,scrape,screech,scrunch,shrilling,sizzle,slam,snap,snore,spatter,squawk,squeak,squish,stridulation,swoosh",,0.0,,,0.0
hill,-,knoll,,0.0,,,0.0
pleading,-,complaint,,0.0,,,0.0
accountant,-,auditor,,0.0,,,0.0
pipet,measuring instrument consisting of a graduated glass tube used to measure or transfer precise volumes of a liquid by drawing the liquid up into the tube,dropper,,0.0,,,0.0
army unit,-,troop,,0.0,,,0.0
permanent magnet,a magnet that retains its magnetism after being removed from a magnetic field,lodestone,1,0.0,,,0.0
cash,money in the form of bills or coins,"change,change,small change,ready cash,pocket money",,0.0,,,0.0
two,-,couple,,0.0,,,0.0
geographic point,-,workplace,,0.0,,,0.0
marital status,-,marriage,,0.0,,,0.0
closed corporation,a corporation owned by a few people; shares have no public market,family business,,0.0,,,0.0
depression,pushing down,click,,0.0,,,0.0
aeronautics,the theory and practice of navigation through air or space,avionics,,0.0,,,0.0
good health,-,energy,,0.0,,,0.0
vegetable,edible seeds or roots or stems or leaves or bulbs or tubers or nonsweet fruits of any of numerous herbaceous plant,"artichoke,artichoke heart,asparagus,bamboo shoot,cardoon,truffle,fennel,gumbo,julienne,leek,mushroom,pieplant,plantain,potherb,pumpkin,raw vegetable",,0.0,,,0.0
orientation,position or alignment relative to points of the compass or other specific directions,"horizontal,quarter,vertical",,0.0,,,0.0
inclusion,the act of including,incorporation,,0.0,,,0.0
embankment,-,rampart,,0.0,,,0.0
metric weight unit,-,kilogram,,0.0,,,0.0
bedroom furniture,furniture intended for use in a bedroom,bed,,0.0,,,0.0
persuasion,-,exhortation,,0.0,,,0.0
storeroom,-,strongroom,,0.0,,,0.0
towel,-,bath towel,,0.0,,,0.0
packing material,-,cardboard,,0.0,,,0.0
pervert,-,masochist,,0.0,,,0.0
cut of pork,-,ham,,0.0,,,0.0
continental glacier,a glacier that spreads out from a central mass of ice,polar glacier,,0.0,,,0.0
exclusion,the state of being excluded,banishment,,0.0,,,0.0
mental disorder,-,personality disorder,,0.0,,,0.0
conciliator,someone who tries to bring peace,appeaser,,0.0,,,0.0
perceiver,-,spectator,,0.0,,,0.0
instinct,inborn pattern of behavior often responsive to specific stimuli,id,,0.0,,,0.0
bovid,-,wild sheep,,0.0,,,0.0
ambassador,a diplomat of the highest rank; accredited as representative from one country to another,ambassadress,,0.0,,,0.0
tracked vehicle,-,snowmobile,,0.0,,,0.0
diagnostic test,-,skin test,,0.0,,,0.0
motion-picture film,photographic film several hundred feet long and wound on a spool; to be used in a movie camera,sound film,,0.0,,,0.0
enormousness,unusual largeness in size or extent or number,enormity,,0.0,,,0.0
explosive device,-,mine,,0.0,,,0.0
advancement,gradual improvement or growth or development,"forwarding,stride,work flow",,0.0,,,0.0
wedding present,a present given to someone getting married,bride-gift,,0.0,,,0.0
heathen,-,idolater,,0.0,,,0.0
body weight,the weight of a person's body,reporting weight,,0.0,,,0.0
free press,a press not restricted or controlled by government censorship regarding politics or ideology,gutter press,,0.0,,,0.0
repellent,a chemical substance that repels animals,insectifuge,,0.0,,,0.0
plastic bag,a bag made of thin plastic material,bin liner,,0.0,,,0.0
enjoyment,the pleasure felt when having a good time,joie de vivre,,0.0,,,0.0
bagel,(Yiddish) glazed yeast-raised doughnut-shaped roll with hard crust,onion bagel,,0.0,,,0.0
skate,large edible rays having a long snout and thick tail with pectoral fins continuous with the head; swim by undulating the edges of the pectoral fins,"barndoor skate,grey skate,little skate,thorny skate",,0.0,,,0.0
structural member,-,upright,,0.0,,,0.0
enthusiast,-,sports fan,,0.0,,,0.0
photojournalism,journalism that presents a story primarily through the use of pictures,news photography,,0.0,,,0.0
version,an interpretation of a matter from a particular viewpoint,approximation,,0.0,,,0.0
protective garment,-,pressure suit,,0.0,,,0.0
sorrow,an emotion of great sadness associated with loss or bereavement,"broken heart,self-pity",,0.0,,,0.0
Russian agency,an administrative agency of the Russian government,Committee for State Security,,0.0,,,0.0
electric heater,a small electric space heater,heat lamp,,0.0,,,0.0
paper,a material made of cellulose pulp derived mainly from wood or rags or certain grasses,"art paper,blotting paper,blueprint paper,carbon paper,cartridge paper,computer paper,confetti,construction paper,crepe,filter paper,flypaper,graph paper,greaseproof paper,india paper,linen,litmus paper,manifold paper,manila,music paper,newspaper,oilpaper,papier-mache,paper tape,paper toweling,papyrus,parchment,rice paper,roofing paper,ticker tape,tracing paper,wallpaper,waste paper,wax paper",,0.0,,,0.0
pace,the relative speed of progress or change,"beat,sluggishness",,0.0,,,0.0
duplicate,a copy that corresponds to an original exactly,"backup,counterpart,match",,0.0,,,0.0
predecessor,one who precedes you in time (as in holding a position or office),forefather,,0.0,,,0.0
thread,-,cotton,,0.0,,,0.0
packing,the enclosure of something in a package or box,bundling,,0.0,,,0.0
campaign,several related operations aimed at achieving a particular goal (usually within geographical and temporal constraints),expedition,,0.0,,,0.0
candied fruit,-,candied citrus peel,,0.0,,,0.0
furnace,-,kiln,,0.0,,,0.0
crash,the act of colliding with something,impingement,,0.0,,,0.0
change of location,-,translation,,0.0,,,0.0
dancing,-,social dancing,,0.0,,,0.0
opinion,a personal belief or judgment that is not founded on proof or certainty,"eyes,idea,preconception,pole,politics",,0.0,,,0.0
larva,-,grub,,0.0,,,0.0
sweet pickle,pickle cured in brine and preserved in sugar and vinegar,bread and butter pickle,,0.0,,,0.0
acquiring,-,occupation,,0.0,,,0.0
certificate,-,diploma,,0.0,,,0.0
statistics,-,correlation,,0.0,,,0.0
admonition,cautionary advice about something imminent (especially imminent danger or other unpleasantness),example,,0.0,,,0.0
master,an authority qualified to teach apprentices,past master,,0.0,,,0.0
warder,a person who works in a prison and is in charge of prisoners,wardress,,0.0,,,0.0
law enforcement agency,-,police,,0.0,,,0.0
blasphemer,a person who speaks disrespectfully of sacred things,swearer,,0.0,,,0.0
incaution,-,imprudence,,0.0,,,0.0
indignation,a feeling of righteous anger,dudgeon,,0.0,,,0.0
safety belt,belt attaching you to some object as a restraint in order to prevent you from getting hurt,seat belt,,0.0,,,0.0
methane series,-,methane,,0.0,,,0.0
opening,becoming open or being made open,cut,,0.0,,,0.0
fecal matter,-,droppings,,0.0,,,0.0
tower,-,watchtower,,0.0,,,0.0
pastry,any of various baked foods made of dough or batter,"baklava,patty shell,dowdy,frangipane,pie crust,profiterole,rugulah,sausage roll,streusel,strudel,timbale,toad-in-the-hole,vol-au-vent",,0.0,,,0.0
instrument of punishment,-,switch,,0.0,,,0.0
formality,a manner that strictly observes all forms and ceremonies,"ceremoniousness,stateliness",,0.0,,,0.0
wig,hairpiece covering the head and made of real or synthetic hair,grizzle,,0.0,,,0.0
longing,prolonged unfulfilled desire or need,"hankering,wishfulness,wistfulness",,0.0,,,0.0
truthfulness,-,sincerity,,0.0,,,0.0
social anthropologist,an anthropologist who studies such cultural phenomena as kinship systems,ritualist,,0.0,,,0.0
armored vehicle,-,tank,,0.0,,,0.0
adhesive material,-,paste,,0.0,,,0.0
outdoor game,-,golf,,0.0,,,0.0
wedding present,a present given to someone getting married,bride-gift,,0.0,,,0.0
spouse,-,polygamist,,0.0,,,0.0
exposure,presentation to view in an open or public manner,repudiation,,0.0,,,0.0
pessimist,a person who expects the worst,defeatist,,0.0,,,0.0
eating,-,dining,,0.0,,,0.0
approval,acceptance as satisfactory,appro,,0.0,,,0.0
political unit,-,union,,0.0,,,0.0
importance,a prominent status,primacy,,0.0,,,0.0
food,anything that provides mental stimulus for thinking,pabulum,,0.0,,,0.0
body weight,the weight of a person's body,reporting weight,,0.0,,,0.0
swelling,-,tumidity,,0.0,,,0.0
lotion,any of various cosmetic preparations that are applied to the skin,"body lotion,hand lotion,toner",,0.0,,,0.0
payer,-,taxpayer,,0.0,,,0.0
legislature,-,senate,,0.0,,,0.0
conciliator,someone who tries to bring peace,appeaser,,0.0,,,0.0
nursery,a child's room for a baby,day nursery,,0.0,,,0.0
flower,the period of greatest prosperity or productivity,golden age,,0.0,,,0.0
spelling,forming words with letters according to the principles underlying accepted usage,misspelling,,0.0,,,0.0
toy dog,-,toy spaniel,,0.0,,,0.0
"band,elastic device",a thin flat strip of flexible material that is worn around the body or one of the limbs (especially to decorate the body),rubber band,,0.0,,,0.0
captor,-,kidnapper,,0.0,,,0.0
memorial,a recognition of meritorious service,"epitaph,festschrift",,0.0,,,0.0
temper,a disposition to exhibit uncontrolled anger,querulousness,,0.0,,,0.0
order of the day,the order of business for an assembly on a given day,order paper,,0.0,,,0.0
equine,-,zebra,,0.0,,,0.0
stronghold,-,bastion,,0.0,,,0.0
rite,-,vigil,,0.0,,,0.0
promontory,a natural elevation (especially a rocky one that juts out into the sea),"mull,point",,0.0,,,0.0
article,one of a class of artifacts,"breakable,knickknack",,0.0,,,0.0
high status,-,precedence,,0.0,,,0.0
admonition,cautionary advice about something imminent (especially imminent danger or other unpleasantness),example,,0.0,,,0.0
unorthodoxy,any opinions or doctrines at variance with the official or orthodox position,iconoclasm,,0.0,,,0.0
freight car,-,boxcar,,0.0,,,0.0
purpose,an anticipated outcome that is intended or that guides your planned actions,"cross-purpose,final cause,mind,sake,view,will",,0.0,,,0.0
importance,the quality of being important and worthy of note,"account,big deal,greatness,momentousness,prominence,weight",,0.0,,,0.0
"cleaning implement,pad",any of a large class of implements used for cleaning,cleaning pad,,0.0,,,0.0
organ,a periodical that is published by a special interest group,house organ,,0.0,,,0.0
leverage,strategic advantage; power to act effectively,bargaining chip,,0.0,,,0.0
riot,a public act of violence by an unruly mob,race riot,,0.0,,,0.0
free press,a press not restricted or controlled by government censorship regarding politics or ideology,gutter press,,0.0,,,0.0
scope,an area in which something acts or operates or has power or control:,"approximate range,confines,contrast,sweep,gamut",,0.0,,,0.0
instinct,inborn pattern of behavior often responsive to specific stimuli,id,,0.0,,,0.0
susceptibility,-,sensitivity,,0.0,,,0.0
utensil,-,kitchen utensil,,0.0,,,0.0
shade,relative darkness caused by light rays being intercepted by an opaque body,shadow,,0.0,,,0.0
meat loaf,a baked loaf of ground meat,fish loaf,,0.0,,,0.0
index,a numerical scale used to compare variables with one another or with some reference number,margin of safety,,0.0,,,0.0
funeral,a ceremony at which a dead person is buried or cremated,"burial,sky burial",,0.0,,,0.0
instability,the quality or attribute of being unstable and irresolute,shakiness,,0.0,,,0.0
serviceman,-,military officer,,0.0,,,0.0
firework,-,firecracker,,0.0,,,0.0
camera,-,digital camera,,0.0,,,0.0
border,a strip forming the outer edge of something,"selvage,verge",,0.0,,,0.0
nutriment,-,vitamin,,0.0,,,0.0
consumer goods,-,grocery,,0.0,,,0.0
literary study,-,poetics,,0.0,,,0.0
denial,the act of asserting that something alleged is not true,negation,,0.0,,,0.0
sociology,-,criminology,,0.0,,,0.0
male child,-,Scout,,0.0,,,0.0
endomorph,a heavy person with a soft and rounded body,pudge,,0.0,,,0.0
crate,a rugged box (usually made of wood); used for shipping,"packing box,soapbox",,0.0,,,0.0
entree,the right to enter,door,,0.0,,,0.0
delivery,the act of delivering or distributing something (as goods or mail),"airdrop,consignment,post,service",,0.0,,,0.0
fog,an atmosphere in which visibility is reduced because of a cloud of some substance,fug,,0.0,,,0.0
silver,a soft white precious univalent metallic element having the highest electrical and thermal conductivity of any metal; occurs in argentite and in free form; used in coins and jewelry and tableware and photography,coin silver,,0.0,,,0.0
murderer,-,serial killer,,0.0,,,0.0
utility,a company that performs a public service; subject to government regulation,"bus company,power company",,0.0,,,0.0
military officer,-,naval officer,,0.0,,,0.0
hedge,a fence formed by a row of closely planted shrubs or bushes,privet hedge,,0.0,,,0.0
onion roll,yeast-raised roll flavored with onion,bialy,,0.0,,,0.0
quarryman,-,breaker,,0.0,,,0.0
inertia,(physics) the tendency of a body to maintain its state of rest or uniform motion unless acted upon by an external force,moment of inertia,,1.0,,,1.0
ocean current,-,equatorial current,,1.0,,,1.0
Muslim,-,Muslimah,,1.0,,,1.0
spiral galaxy,a galaxy having a spiral structure; arms containing younger stars spiral out from old stars at the center,Andromeda galaxy,,1.0,,,1.0
insecticide,-,organophosphate,,1.0,,,1.0
